idx,mu0,mu1,fom_time_s,rom_time_s,podnn_time_s,rom_rel_l2_u,podnn_rel_l2_u,rom_rel_l2_p,podnn_rel_l2_p,rom_rel_h1_u,podnn_rel_h1_u,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
49,1.2682584309931018,2.923795329099029,0.08892107009887695,0.005604743957519531,0.0002455711364746094,0.026877994251066822,0.04729634702143832,0.003668200522795566,0.00589168067636782,0.02416779013409865,0.06274738733286657,0.006541013717651367,0.41658947374860034,1.1047694886559765,0.5263161139465395
50,9.09494883800531,2.3994142676214993,0.07840609550476074,0.005316019058227539,0.0002460479736328125,0.0052046223601062355,0.07852564554633855,0.002259903671953221,0.013933181314271348,0.006051640095777545,0.09955557349310022,0.0046160221099853516,0.598073765794445,0.9748891323792757,0.700545117938689
51,2.732112618449244,2.9383527546954475,0.0882418155670166,0.005957126617431641,0.0003199577331542969,0.019790254222268745,0.05033077342196809,0.007369697590097411,0.024116830152986546,0.019489602390739953,0.04817069663219962,0.006495952606201172,0.5296553840827035,1.0051359283979182,0.6019144329540335
52,7.809633949261367,2.433780378317991,0.1025090217590332,0.007409811019897461,0.00025200843811035156,0.005691334034009469,0.0682324446240054,0.002396578172366205,0.01130258267031254,0.00882511965308869,0.08772090380532334,0.007323741912841797,0.5455045210700149,0.9919000578637721,0.6592772776860076
53,4.548678871223508,1.544483123690318,0.09857892990112305,0.006999969482421875,0.0002529621124267578,0.012468434732323149,0.02583443612865561,0.005631098427414549,0.014556102732373543,0.018118069129784878,0.04022527856621673,0.007476091384887695,0.2072275157611091,0.8500419808970863,0.29229929839173674
54,1.054270525319643,2.8052047930876833,0.12316322326660156,0.005467891693115234,0.00024509429931640625,0.01769297884428268,0.03749677097479894,0.003018391526156729,0.012217062714307874,0.01784362752354463,0.04034074775749093,0.0049648284912109375,0.4128138298533733,1.0262616634177522,0.577836304572512
55,4.61218526935275,1.4047267295904606,0.08995294570922852,0.0063550472259521484,0.0002410411834716797,0.00472539808606455,0.025450855567125952,0.007827359280978956,0.013743073854838939,0.010894849340832062,0.03275447262214286,0.009005069732666016,0.24662028123261776,0.8870443560289573,0.3450286634001704
56,3.12897057909146,2.158439137883792,0.08743810653686523,0.0053827762603759766,0.00026702880859375,0.013956661232441126,0.0182718231287363,0.01519569556731098,0.009584829439741524,0.017259111923223974,0.024551867262967816,0.006468057632446289,0.24931313671993804,1.413654115508377,0.33276880502343514
57,1.850050551098394,2.7132285681847508,0.09004902839660645,0.005450010299682617,0.00024437904357910156,0.009366753677439834,0.029098855918000543,0.002301003095682108,0.006216927400679749,0.013309847237913525,0.03610430264078965,0.006060123443603516,0.37070617393130784,1.0614464922437459,0.5392416005127804
58,7.60934334536858,2.4389259119018734,0.08687496185302734,0.0054018497467041016,0.0002319812774658203,0.005823358218050735,0.06818825893272971,0.0024308434865221917,0.011175283016788872,0.009228072626337621,0.08564612084694079,0.007370710372924805,0.5374475050073168,0.9945532153226465,0.6525767972148967
59,4.377721093773527,2.2546176814048864,0.08349919319152832,0.0053942203521728516,0.0002422332763671875,0.013258555855423456,0.02989241684126875,0.01325241541440248,0.008171310261510712,0.01533597156487045,0.040119681274350616,0.0062258243560791016,0.374141886415039,1.1505040836523444,0.45178944599759174
60,5.8825698922360825,2.2996932031096398,0.09095907211303711,0.005942821502685547,0.0002541542053222656,0.009765106059419378,0.05252879648249541,0.0057781605165049725,0.007159032881264562,0.015081967667452748,0.06974035050117416,0.009302139282226562,0.4408862003013878,1.0316252111344475,0.5328644761406216
61,0.935998779284902,1.8316148043412193,0.12493705749511719,0.005412101745605469,0.00023818016052246094,0.008105091073305926,0.020132792046649757,0.00527516763201374,0.02462116173954626,0.012896300817413915,0.02529413900950277,0.006268978118896484,0.2534991330013425,1.001407266941164,0.38536190396509185
62,0.5119803212327355,1.9879816384890379,0.12693476676940918,0.005411863327026367,0.00023412704467773438,0.004192894746981008,0.023542717118046584,0.10047253691639368,0.10938621536108734,0.008130875035480807,0.0252104071877683,0.0052337646484375,0.25669377193018983,2.785014886449818,0.3465005313459814
