idx,mu0,mu1,fom_time_s,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
60,5.8825698922360825,2.2996932031096398,0.09095907211303711,0.017026901245117188,1.0045106565936737,1.003438727768907,1.0063914881229479
61,0.935998779284902,1.8316148043412193,0.12493705749511719,0.01650404930114746,1.000599547536064,0.9947283248411138,1.0013589577193012
62,0.5119803212327355,1.9879816384890379,0.12693476676940918,0.017169952392578125,1.0004527658073885,0.9881868742259632,1.0007485428926957
63,3.3656260020945745,1.2890483777320938,0.0805959701538086,0.01589512825012207,0.9967853240823344,1.006544090202352,0.9988234126581155
64,1.1236893804532613,2.175289144355424,0.12192082405090332,0.015911102294921875,1.0002599487116766,1.0045829100918848,1.0001772593586358
65,1.7888703885151724,2.8502402367535944,0.09196710586547852,0.01530599594116211,0.9982991170931349,0.9967188991658786,0.9990563817510484
66,5.852505283033911,1.6937396090696741,0.0675501823425293,0.01673603057861328,1.0011332976480087,0.9957260456993011,1.0126027854277657
67,5.9500633656660264,1.045607742059395,0.20832204818725586,0.016354084014892578,1.0088099653136209,1.0078346519170636,1.0588290601240167
68,9.58973621109031,1.9646068738858005,0.09838199615478516,0.016009092330932617,1.0165376681369807,0.9943272021216277,1.0251536725438866
69,7.849078749777834,1.1654599998448771,0.06688499450683594,0.016413211822509766,1.0058409740949252,1.0079165332244986,1.0409066711603283
70,4.917917475297788,1.9814139887090418,0.08698701858520508,0.015692710876464844,1.0060199136660655,0.9932133176454805,1.0102849458550471
71,9.38448190425233,2.1434561047521505,0.08035778999328613,0.015571117401123047,1.0140627211743491,1.0021795756318974,1.0165018595526825
72,4.7875450704638425,1.5339513261837872,0.09977293014526367,0.017245054244995117,0.995851565697829,1.0041826301295094,1.0029129891737094
73,3.382533073691267,2.0413448049430754,0.09965181350708008,0.016244888305664062,1.0034395961032743,0.995987937850959,1.0056283358427542
74,4.445223457019963,1.0432241597606609,0.08024907112121582,0.01542973518371582,1.0041080237070188,1.007601248739427,1.0355503043456593
75,8.280290049524142,2.7923215436795337,0.07579302787780762,0.015454292297363281,0.999988186949513,0.9964736260284994,1.0039262793510864
76,1.4884659810862466,2.108072287078099,0.0924978256225586,0.018450021743774414,1.00092040651333,0.9998820815588605,1.001253338414235
77,1.1748998372408912,2.3444801860796236,0.08875274658203125,0.017204999923706055,0.999867643502352,1.0011305298006967,1.0001465778045289
78,2.8842144600061825,2.3188452693838038,0.08035778999328613,0.01818990707397461,1.0005507492239165,1.002451919418878,1.001425285159647
79,7.297246681440138,2.537294983835314,0.08458113670349121,0.01723003387451172,1.0009785580660835,0.9939279577300496,1.0056844808427854
80,1.166635364963376,2.832023690275216,0.08936810493469238,0.017144203186035156,0.9986996980904018,0.9962703270652713,0.9991316221721138
81,2.37911850985932,1.0748251123523596,0.08665323257446289,0.020872831344604492,0.9999276681043513,1.0071145191009847,1.0082470015008833
82,5.593039446975686,1.7418445677248775,0.08681106567382812,0.01918792724609375,1.0029969540209067,0.9945349079834378,1.0130078303338488
